web-scraper-order,web-scraper-start-url,links,links-href,Title,Votes,Note,Metascore,Genre
1678279573-547,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",24H Limit,https://www.imdb.com/title/tt5442456/?ref_=adv_li_tt,24H Limit,15000,"5,8",37.0,Action
1678280357-695,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",Arjun Reddy,https://www.imdb.com/title/tt7294534/?ref_=adv_li_tt,Arjun Reddy,26000,"8,0",,Action
1678281341-735,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=701&ref_=adv_nxt",La balade de Lefty Brown,https://www.imdb.com/title/tt4400994/?ref_=adv_li_tt,La balade de Lefty Brown,7000,"6,3",64.0,Action
1678279617-555,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Theeran Adhigaram Ondru,https://www.imdb.com/title/tt7060460/?ref_=adv_li_tt,Theeran Adhigaram Ondru,16000,"8,2",,Action
1678273079-196,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=201&ref_=adv_nxt",Secret Superstar,https://www.imdb.com/title/tt6108090/?ref_=adv_li_tt,Secret Superstar,27000,"7,8",,Drame
1678279717-575,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Along With the Gods: The Two Worlds,https://www.imdb.com/title/tt7160070/?ref_=adv_li_tt,Along With the Gods: The Two Worlds,17000,"7,2",,Action
1678274549-419,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Kong: Skull Island,https://www.imdb.com/title/tt3731562/?ref_=adv_li_tt,Kong: Skull Island,326000,"6,6",62.0,Action
1678273416-248,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt",Metalhead,https://www.imdb.com/title/tt5710984/?ref_=adv_li_tt,Metalhead,37000,"6,6",,Drame
1678274295-378,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",Taboo,https://www.imdb.com/title/tt3647998/?ref_=adv_li_tt,Taboo,141000,"8,3",,Drame
1678279159-484,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=451&ref_=adv_nxt",L'Amant double,https://www.imdb.com/title/tt6367558/?ref_=adv_li_tt,L'Amant double,13000,"6,2",70.0,Drame
1678279623-556,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Shimmer Lake,https://www.imdb.com/title/tt1386691/?ref_=adv_li_tt,Shimmer Lake,16000,"6,3",,Action
1678273724-293,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",Hang the DJ,https://www.imdb.com/title/tt5710978/?ref_=adv_li_tt,Hang the DJ,53000,"8,7",,Drame
1678274440-401,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Mother,https://www.imdb.com/title/tt5109784/?ref_=adv_li_tt,Mother,232000,"6,6",75.0,Drame
1678279602-552,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Overdrive,https://www.imdb.com/title/tt1935194/?ref_=adv_li_tt,Overdrive,15000,"5,3",,Action
1678282567-879,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",The Big Scary U,https://www.imdb.com/title/tt6198668/?ref_=adv_li_tt,The Big Scary U,92000,"7,2",,Drame
1678280011-634,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Fullmetal Alchemist,https://www.imdb.com/title/tt5607028/?ref_=adv_li_tt,Fullmetal Alchemist,21000,"5,3",48.0,Action
1678281778-796,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=651&ref_=adv_nxt",The Great Father,https://www.imdb.com/title/tt5996836/?ref_=adv_li_tt,The Great Father,78000,"6,9",,Action
1678273301-234,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=201&ref_=adv_nxt",The Chosen,https://www.imdb.com/title/tt9471404/?ref_=adv_li_tt,The Chosen,34000,"9,3",,Drame
1678279950-621,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Chapter Six: The Spy,https://www.imdb.com/title/tt6020808/?ref_=adv_li_tt,Chapter Six: The Spy,20000,"9,1",,Drame
1678279664-564,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Happy End,https://www.imdb.com/title/tt5304464/?ref_=adv_li_tt,Happy End,16000,"6,6",72.0,Drame
1678279960-623,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",L.A. Rush,https://www.imdb.com/title/tt4694544/?ref_=adv_li_tt,L.A. Rush,20000,"5,3",28.0,Action
1678282586-881,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",Efectuar lo acordado,https://www.imdb.com/title/tt6807344/?ref_=adv_li_tt,Efectuar lo acordado,92000,"8,1",,Action
1678273347-239,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt",Ghost Stories,https://www.imdb.com/title/tt5516328/?ref_=adv_li_tt,Ghost Stories,35000,"6,4",68.0,Drame
1678274640-435,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/?ref_=adv_li_tt,Spider-Man: Homecoming,669000,"7,4",73.0,Action
1678274177-361,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",The Foreigner,https://www.imdb.com/title/tt1615160/?ref_=adv_li_tt,The Foreigner,117000,"7,0",55.0,Action
1678282325-855,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt","Tape 7, Side A",https://www.imdb.com/title/tt5174280/?ref_=adv_li_tt,"Tape 7, Side A",86000,"9,2",,Drame
1678278907-446,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=451&ref_=adv_nxt",Salyut-7,https://www.imdb.com/title/tt6537238/?ref_=adv_li_tt,Salyut-7,12000,"7,2",,Action
1678279033-459,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=451&ref_=adv_nxt",Café Roma,https://www.imdb.com/title/tt7063210/?ref_=adv_li_tt,Café Roma,12000,"7,0",,Drame
1678274284-377,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",La Tour sombre,https://www.imdb.com/title/tt1648190/?ref_=adv_li_tt,La Tour sombre,141000,"5,6",34.0,Action
1678281605-769,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=651&ref_=adv_nxt",Fortnite,https://www.imdb.com/title/tt8020008/?ref_=adv_li_tt,Fortnite,75000,"5,1",,Action
1678279562-546,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=401&ref_=adv_nxt",Les demoiselles du téléphone,https://www.imdb.com/title/tt5674718/?ref_=adv_li_tt,Les demoiselles du téléphone,15000,"7,5",,Drame
1678273791-303,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",Sur le chemin de la rédemption,https://www.imdb.com/title/tt6053438/?ref_=adv_li_tt,Sur le chemin de la rédemption,59000,"7,1",85.0,Drame
1678274628-433,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Star Wars : Épisode VIII - Les Derniers Jedi,https://www.imdb.com/title/tt2527336/?ref_=adv_li_tt,Star Wars : Épisode VIII - Les Derniers Jedi,641000,"6,9",84.0,Action
1678279963-624,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Chapter One: MADMAX,https://www.imdb.com/title/tt6020684/?ref_=adv_li_tt,Chapter One: MADMAX,20000,"8,1",,Drame
1678283055-959,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=501&ref_=adv_nxt",Judwaa 2,https://www.imdb.com/title/tt5456546/?ref_=adv_li_tt,Judwaa 2,11000,"3,6",,Action
1678273937-329,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",La Montagne entre nous,https://www.imdb.com/title/tt2226597/?ref_=adv_li_tt,La Montagne entre nous,77000,"6,4",48.0,Drame
1678274149-357,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",Geostorm,https://www.imdb.com/title/tt1981128/?ref_=adv_li_tt,Geostorm,111000,"5,3",21.0,Action
1678273482-258,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt","Everything, Everything",https://www.imdb.com/title/tt5001718/?ref_=adv_li_tt,"Everything, Everything",40000,"6,3",52.0,Drame
1678273442-252,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt",Time Trap,https://www.imdb.com/title/tt4815122/?ref_=adv_li_tt,Time Trap,38000,"6,2",46.0,Action
1678282494-873,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",Whisky Bandit,https://www.imdb.com/title/tt5871080/?ref_=adv_li_tt,Whisky Bandit,89000,"7,3",,Action
1678282726-907,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",The Hero,https://www.imdb.com/title/tt5655222/?ref_=adv_li_tt,The Hero,10000,"6,5",61.0,Drame
1678274482-408,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",La Planète des singes : Suprématie,https://www.imdb.com/title/tt3450958/?ref_=adv_li_tt,La Planète des singes : Suprématie,263000,"7,4",82.0,Action
1678273241-225,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=201&ref_=adv_nxt",Désobéissance,https://www.imdb.com/title/tt6108178/?ref_=adv_li_tt,Désobéissance,33000,"6,6",74.0,Drame
1678273804-305,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",Jungle,https://www.imdb.com/title/tt3758172/?ref_=adv_li_tt,Jungle,59000,"6,7",48.0,Action
1678281284-730,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=701&ref_=adv_nxt",Caballo de Troya,https://www.imdb.com/title/tt6851490/?ref_=adv_li_tt,Caballo de Troya,7000,"8,1",,Action
1678279607-553,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",The Villainess,https://www.imdb.com/title/tt6777338/?ref_=adv_li_tt,The Villainess,15000,"6,6",64.0,Action
1678280224-678,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",The Bye Bye Man,https://www.imdb.com/title/tt4030600/?ref_=adv_li_tt,The Bye Bye Man,25000,"4,3",37.0,Drame
1678282394-866,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt",The Walking Dead,https://www.imdb.com/title/tt1520211/?ref_=adv_li_tt,The Walking Dead,100000,"8,1",,Drame
1678280268-686,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",Aftermath,https://www.imdb.com/title/tt4581576/?ref_=adv_li_tt,Aftermath,26000,"5,7",44.0,Drame
1678283072-962,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=501&ref_=adv_nxt",The Vanishing of Sidney Hall,https://www.imdb.com/title/tt1291566/?ref_=adv_li_tt,The Vanishing of Sidney Hall,11000,"6,8",18.0,Drame
1678279891-609,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Columbus,https://www.imdb.com/title/tt5990474/?ref_=adv_li_tt,Columbus,19000,"7,2",89.0,Drame
1678280214-676,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",Sand Castle,https://www.imdb.com/title/tt2582576/?ref_=adv_li_tt,Sand Castle,25000,"6,3",45.0,Action
1678282095-831,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt",Raabta,https://www.imdb.com/title/tt5542802/?ref_=adv_li_tt,Raabta,82000,"4,7",,Action
1678279733-578,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Cold Skin,https://www.imdb.com/title/tt1034385/?ref_=adv_li_tt,Cold Skin,17000,"6,0",,Action
1678274158-358,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",Downsizing,https://www.imdb.com/title/tt1389072/?ref_=adv_li_tt,Downsizing,114000,"5,8",63.0,Drame
1678274605-429,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Baby Driver,https://www.imdb.com/title/tt3890160/?ref_=adv_li_tt,Baby Driver,555000,"7,6",86.0,Action
1678274385-392,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Bright,https://www.imdb.com/title/tt5519340/?ref_=adv_li_tt,Bright,193000,"6,3",29.0,Action
1678282668-895,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",Jusqu'à la garde,https://www.imdb.com/title/tt6002232/?ref_=adv_li_tt,Jusqu'à la garde,97000,"7,5",83.0,Drame
1678279845-599,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Blade of the Immortal,https://www.imdb.com/title/tt5084170/?ref_=adv_li_tt,Blade of the Immortal,18000,"6,7",72.0,Action
1678279780-587,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Radius,https://www.imdb.com/title/tt6097798/?ref_=adv_li_tt,Radius,17000,"6,2",,Drame
1678282730-908,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",Some Guy,https://www.imdb.com/title/tt6198662/?ref_=adv_li_tt,Some Guy,10000,"6,8",,Drame
1678281915-814,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=651&ref_=adv_nxt",Danger Close,https://www.imdb.com/title/tt5690548/?ref_=adv_li_tt,Danger Close,8000,"9,2",,Action
1678273535-266,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt",Black Museum,https://www.imdb.com/title/tt5058700/?ref_=adv_li_tt,Black Museum,44000,"8,6",,Drame
1678281401-745,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=701&ref_=adv_nxt",M.F.A.,https://www.imdb.com/title/tt5091530/?ref_=adv_li_tt,M.F.A.,72000,"5,9",,Drame
1678274077-346,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",The Circle,https://www.imdb.com/title/tt4287320/?ref_=adv_li_tt,The Circle,95000,"5,3",43.0,Drame
1678282820-922,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=501&ref_=adv_nxt",Bella ciao,https://www.imdb.com/title/tt6816492/?ref_=adv_li_tt,Bella ciao,10000,"9,2",,Action
1678279415-524,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=401&ref_=adv_nxt",Nos âmes la nuit,https://www.imdb.com/title/tt5034266/?ref_=adv_li_tt,Nos âmes la nuit,14000,"6,9",69.0,Drame
1678273173-214,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=201&ref_=adv_nxt",Wonder Wheel,https://www.imdb.com/title/tt5825380/?ref_=adv_li_tt,Wonder Wheel,30000,"6,2",45.0,Drame
1678281275-729,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=701&ref_=adv_nxt",Star Wars: Battlefront II,https://www.imdb.com/title/tt5710996/?ref_=adv_li_tt,Star Wars: Battlefront II,7000,"7,2",,Action
1678274142-356,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",The Defenders,https://www.imdb.com/title/tt4230076/?ref_=adv_li_tt,The Defenders,110000,"7,2",,Action
1678279749-581,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Rememory,https://www.imdb.com/title/tt2331047/?ref_=adv_li_tt,Rememory,17000,"6,1",48.0,Drame
1678279593-550,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Beach Rats,https://www.imdb.com/title/tt6303866/?ref_=adv_li_tt,Beach Rats,15000,"6,4",78.0,Drame
1678280200-673,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",Une prière avant l'aube,https://www.imdb.com/title/tt4080956/?ref_=adv_li_tt,Une prière avant l'aube,24000,"6,8",76.0,Action
1678274030-339,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",Hostiles,https://www.imdb.com/title/tt5478478/?ref_=adv_li_tt,Hostiles,88000,"7,2",65.0,Drame
1678279016-456,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=451&ref_=adv_nxt",The Unknown Soldier,https://www.imdb.com/title/tt4065552/?ref_=adv_li_tt,The Unknown Soldier,12000,"7,7",,Drame
1678280046-641,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Song to Song,https://www.imdb.com/title/tt2062700/?ref_=adv_li_tt,Song to Song,21000,"5,6",54.0,Drame
1678281818-801,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=651&ref_=adv_nxt",Uncharted: The Lost Legacy,https://www.imdb.com/title/tt6304452/?ref_=adv_li_tt,Uncharted: The Lost Legacy,79000,"8,5",,Action
1678282213-846,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt",Bad Day for the Cut,https://www.imdb.com/title/tt5653514/?ref_=adv_li_tt,Bad Day for the Cut,84000,"6,5",,Action
1678281794-798,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=651&ref_=adv_nxt",Dismissed,https://www.imdb.com/title/tt5039994/?ref_=adv_li_tt,Dismissed,78000,"5,7",,Drame
1678281350-737,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=701&ref_=adv_nxt",The Punisher,https://www.imdb.com/title/tt5675620/?ref_=adv_li_tt,The Punisher,243000,"8,5",,Action
1678280323-690,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",The Mist,https://www.imdb.com/title/tt5639976/?ref_=adv_li_tt,The Mist,26000,"5,4",,Drame
1678282134-836,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt",Redivider,https://www.imdb.com/title/tt5464234/?ref_=adv_li_tt,Redivider,83000,"4,7",31.0,Action
1678282387-865,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt","The King, the Widow and Rick",https://www.imdb.com/title/tt6207930/?ref_=adv_li_tt,"The King, the Widow and Rick",88000,"6,1",,Drame
1678274663-439,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Logan,https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt,Logan,776000,"8,1",77.0,Action
1678282529-875,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",The Recall,https://www.imdb.com/title/tt5669936/?ref_=adv_li_tt,The Recall,9000,"4,2",,Action
1678274219-367,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",Seven Sisters,https://www.imdb.com/title/tt1536537/?ref_=adv_li_tt,Seven Sisters,127000,"6,8",47.0,Action
1678282171-842,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt",Wolf Warrior 2,https://www.imdb.com/title/tt7131870/?ref_=adv_li_tt,Wolf Warrior 2,84000,"5,9",44.0,Action
